category,topic_seed,keywords,target_board,destination_url
home_decor,Minimalist Scandinavian Living Room,"neutral tones, scandi interior, minimalist aesthetics, cozy vibes",Minimalist Living,https://example.com/scandi-living
productivity,Daily Time Blocking Routine,"time blocking, productivity hacks, deep work, daily planner",Productivity & Habits,https://example.com/time-blocking
healthy_recipes,15-Minute High-Protein Mediterranean Bowls,"quick dinner, healthy meal prep, high protein, mediterranean diet",Easy Healthy Meals,https://example.com/med-bowls
remote_work,Ergonomic Desk Setup for Small Spaces,"wfh desk, ergonomic setup, home office decor, workspace organization",Work From Home Ideas,https://example.com/wfh-desk
sustainable_living,Zero-Waste Kitchen Swaps for Beginners,"eco friendly home, zero waste kitchen, sustainable tips, plastic free",Eco Living,https://example.com/zero-waste-kitchen
fitness,Low-Impact Core Strengthening Exercises,"pilates core, gentle workout, core strength, home workout no equipment",Daily Fitness,https://example.com/core-workout
digital_nomad,Top 5 Budget-Friendly Cities for Remote Workers,"digital nomad guide, travel remote, budget travel, nomad life",Nomad Lifestyle,https://example.com/budget-nomad-cities
wellness,5-Minute Bedtime Mindfulness Routine,"bedtime routine, sleep habits, mindfulness meditation, night routine",Daily Habits,https://example.com/bedtime-mindfulness
healthy_recipes,High-Protein Meal Prep Breakfast Ideas,"overnight oats, protein breakfast, healthy meal prep, easy recipes",Easy Healthy Meals,https://example.com/protein-breakfast
productivity,Digital Declutter Checklist for Productivity,"digital organization, clean desktop, inbox zero, focus hacks",Productivity & Habits,https://example.com/digital-declutter
home_decor,Warm Japandi Aesthetic Bedroom Design,"japandi interior, warm neutral bedroom, scandi decor, minimalist furniture",Minimalist Living,https://example.com/japandi-bedroom
fitness,Gentle Full-Body Morning Mobility Flow,"mobility routine, morning stretches, flexibility training, yoga for beginners",Daily Fitness,https://example.com/morning-mobility
remote_work,Cozy Lighting Ideas for Home Office Desks,"desk lighting, monitor light bar, cozy home office, wfh aesthetic",Work From Home Ideas,https://example.com/desk-lighting
sustainable_living,Simple Habits to Reduce Household Plastic,"plastic free lifestyle, eco friendly tips, sustainable home hacks",Eco Living,https://example.com/reduce-plastic
wellness,10-Minute Morning Sun & Hydration Ritual,"morning routine, sunlight benefits, hydration habits, wellness tips",Daily Habits,https://example.com/morning-ritual
home_decor,Small Living Room Layout Optimization Hacks,"small apartment decor, space saving furniture, living room layout",Minimalist Living,https://example.com/small-living-room
productivity,Weekly Review Framework for Goal Achievement,"weekly planning, life organization, goal tracking, sunday reset",Productivity & Habits,https://example.com/weekly-review
healthy_recipes,Quick 20-Minute Sheet Pan Dinners,"sheet pan meals, easy weeknight dinner, healthy food ideas, quick cooking",Easy Healthy Meals,https://example.com/sheet-pan-dinners
digital_nomad,Minimalist Carry-On Packing Checklist for Remote Work,"one bag travel, nomad packing list, remote work travel gear",Nomad Lifestyle,https://example.com/nomad-packing
fitness,Desk Worker Posture Correction Exercises,"posture fix, upper back stretches, neck pain relief, ergonomic habits",Daily Fitness,https://example.com/posture-exercises
